部,函,經號,headN,藏文經名,中文經名
,,,2,ཀོ་ལྤགས་ཀྱི་གཞི་འཆད་པ།,說皮革事
,,,3,ལྔས་ནི་བསྙེན་པར་རྫོགས་པ་དང་ཞེས་པའི་སྡེ་ཚན།,五人近圓分
,,,3,གནས་མལ་ཆེ་བའི་སྡེ་ཚན།,大床分
,,,3,བེའུའི་སྡེ་ཚན།,犢子分
,,,3,བཞོན་པའི་སྡེ་ཚན།,乘輿分
,,,3,ཁྲུས་ཀྱི་སྡེ་ཚན།,浮渡分
,,,3,བའི་མཇུག་མའི་སྡེ་ཚན།,牛尾分
,,,3,ཤིང་ལྷམ་རི་མོ་ཅན་གྱི་སྡེ་ཚན།,飾畫木履分
,,,3,སྨྱུག་མའི་ལོ་མ་སོགས་ཀྱི་སྡེ་ཚན།,竹葉等分
,,,3,མགུལ་ཆད་སོགས་ཀྱི་སྡེ་ཚན།,革屣等分
,,,2,སྨན་གྱི་གཞི་འཆད་པ། (སྟོད),說藥事(上)
,,,3,སྨན་གྱི་སྡེ་ཚན།,藥分
,,,3,སྡེ་ཆེན་གྱི་སྡེ་ཚན།,大軍分
,第2函 ཁ,,1,འདུལ་བ་གཞི། ༼ཁ༽,根本毗奈耶（二）
,,,2,སྨན་གྱི་གཞི་འཆད་པ། (བར),說藥事(中)
,,,3,སྡེ་ཆེན་གྱི་སྡེ་ཚན།,大軍分
,,,3,རྒྱལ་པོའི་ཁབ་ཀྱི་སྡེ་ཚན།,王舍城分
,,,3,འོད་མའི་ཚལ་གྱི་སྡེ་ཚན།,竹園分
,,,3,ཤིང་མཁན་གྱི་སྡེ་ཚན།,木作師分
,,,3,ཡིད་ཙ་ནང་ག་ལའི་སྡེ་ཚན།,一車難伽羅
,,,3,ཀམ་པི་ལའི་སྡེ་ཚན།,菴沒羅子分
,,,3,སྔོན་རྒྱལ་པོའི་སྡེ་ཚན།,古王分
,,,3,གཞོན་ནུ་བསྐྱེད་སོགས་ཀྱི་སྡེ་ཚན།,生子等分
,,,4,ང་ལས་ནུའི་སྡེ་ཚན།,乳流出分
,,,4,ལེགས་མཐོང་ཆེན་པོའི་སྡེ་ཚན།,大喜見轉輪王分
,,,4,དུས་དཔོག་གི་སྡེ་ཚན།,時至婆羅門分
,,,4,ཀུ་ཤུའི་སྡེ་ཚན།,茅草轉輪王分
,,,4,གདོལ་པའི་སྡེ་ཚན།,旃陀羅分
,,,4,ལྷ་ཆེན་པོའི་སྡེ་ཚན།,大天轉輪王分
,,,4,རྒྱལ་པོ་མུ་ཁྱུད་ཀྱི་སྡེ་ཚན།,泥彌多轉輪王分
,,,4,མེ་ལོང་གདོང་གི་སྡེ་ཚན།,鏡面王子分
,,,4,ནོར་བཟང་གི་སྡེ་ཚན།,善財王分
,,,4,ཐམས་ཅད་སྒྲོལ་གྱི་སྡེ་ཚན།,尾施婆蜜多王分
,,,4,འདུམ་བྱེད་ཀྱི་སྡེ་ཚན།,散彈長者分
,,,3,ནད་པའི་སྡེ་ཚན།,病者分
,,,3,གཏམ་དུ་གྱུར་པའི་སྡེ་ཚན། (སྟོད),廣說分（上）
,,,4,གླང་ཆེན་མཆེ་བ་དྲུག་ལྡན་སོགས་བསྟན་པ།,說六牙象王等事
,,,4,སངས་རྒྱས་མང་པོའི་སྐབས་བསྟན་པ།,說諸佛時分
,,,4,སངས་རྒྱས་ཀྱི་མཚན་རྣམས་བསྟན་པ།,各說本事分
,,,4,ཤཱ་རིའི་བུ་དང་མོོད་གལ་གྱི་བུའི་ལེའུ།,舍利弗與大目犍連品
,,,4,དང་པོ། འོད་སྲུང་གི་ལེའུ།,第一 迦葉品
,,,4,གཉིས་པ། ཤཱ་རིའི་བུའི་ལེའུ།,第二 舍利弗品
,,,4,གསུམ་པ། པང་ནས་སྐྱེས་ཀྱི་ལེའུ།,第三 大目連品
,,,4,བཞི་པ། མཛེས་ལྡན་གྱི་ལེའུ།,第四 善妙品
,,,4,ལྔ་པ། སྣ་མའི་མེ་ཏོག་གི་ལེའུ།,第五 蘇末那品
,,,4,དྲུག་པ། བྱེ་བ་ཉི་ཤུ་པའི་ལེའུ།,第六 二十俱胝品
,,,4,བདུན་པ། ངག་དབང་གི་ལེའུ།,第七 妙音品
,,,4,བརྒྱད་པ། བྷ་ར་དྭཱ་ཛ་བསོད་སྙོམས་ལེན་གྱི་ལེའུ།,第八 賓頭盧頗羅墮闍品
,,,4,དགུ་པ། ལེགས་འོངས་ཀྱི་ལེའུ།,第九 善來品
,,,4,བཅུ་པ། མ་འགགས་པའི་གྲོགས་པོ་དགའ་ཡོད་ཀྱི་ལེའུ།,第十 阿那律之友有喜品
,,,4,བཅུ་གཅིག་པ། གནས་བརྟན་གྲགས་པའི་ལེའུ།,第十一 名稱羅漢品
,,,4,བཅུ་གཉིས་པ། དཔལ་སྐྱེད་ཀྱི་ལེའུ།,第十二 財益品
,,,4,བཅུ་གསུམ་པ། བཀྐུ་ལའི་ལེའུ།,第十三 薄俱羅品
,,,4,བཅུ་བཞི་པ། གནས་བརྟན་གནས་བརྟན་ཞེས་པའི་ལེའུ།,第十四 尊者羅漢品
,,,4,བཅྭ་ལྔ་པ། ག་ཡཱ་འོད་སྲུང་རྣམས་ཀྱི་ལེའུ།,第十五 伽耶迦葉等三人品
,,,4,བཅུ་དྲུག་པ། གནས་བརྟན་གྲགས་པའི་ལེའུ།,第十六 名稱羅漢品
,,,4,བཅུ་བདུན་པ། མེ་སྐྱེས་ཀྱི་ལེའུ།,第十七 火生品
,,,4,བཅྭ་བརྒྱད་པ། ཡུལ་འཁོར་སྐྱོང་གི་ལེའུ།,第十八 護國品
,,,4,བཅུ་དགུ་པ། ས་གའི་ལེའུ།,第十九 娑底品
,,,4,ཉི་ཤུ་པ། འོད་སུང་བྱིན་པ་ཅན་གྱི་ལེའུ།,第二十 膝多迦攝波品
,,,4,ཉི་ཤུ་རྩ་གཅིག་པ། ལམ་ཕྲན་བསྟན་གྱི་ལེའུ།,第二十一 周利槃陀迦品
,,,4,ཉི་ཤུ་རྩ་གཉིས་པ། སྤྲུལ་ཁོལ་གྱི་ལེའུ།,第二十二 蛇僕品
,,,4,ཉི་ཤུ་རྩ་གསུམ་པ། མ་འགགས་པའི་ལེའུ།,第二十三 阿泥盧馱品
,,,4,ཉི་ཤུ་རྩ་བཞི་པ། རི་དྭགས་འཛིན་གྱི་བུ་ནག་པོའི་ལེའུ།,第二十四 師子王迦羅品
,,,4,ཉི་ཤུ་རྩ་ལྔ་པ། སྒྲ་ཅན་ཟིན་གྱི་ལེའུ།,第二十五 羅怙羅品
,,,4,ཉི་ཤུ་རྩ་དྲུག་པ། དགའ་བོའི་ལེའུ།,第二十六 難陀品
,,,4,ཉི་ཤུ་རྩ་བདུན་པ། གྱད་བུ་ནོར་གྱི་ལེའུ།,第二十七 力士品
,,,4,ཉི་ཤུ་རྩ་བརྒྱད་པ། ཉེ་སྡེའི་ལེའུ།,第二十八 近將品
,,,4,ཉི་ཤུ་རྩ་དགུ་པ། ཤཱཀྱའི་རྒྱལ་པོ་བཟང་ལྡན་གྱི་ལེའུ།,第二十九 釋迦王賢子品
,,,4,སུམ་ཅུ་པ། མཛེས་བཟང་གི་ལེའུ།,第三十 賢鹽品
,,,4,སུམ་ཅུ་རྩ་གཅིག་པ། གནས་འཇོག་སྦྲང་རྩི་ཅན་གྱི་ལེའུ།,第三十一 蜜性品
,,,4,སུམ་ཅུ་རྩ་གཉིས་པ། གནས་བརྟན་རྒྱུ་ཅན་གྱི་ལེའུ།,第三十二 因緣羅漢品
,,,4,སུམ་ཅུ་རྩ་གསུམ་པ། ཀོོཎྜི་ནྱའི་ལེའུ།,第三十三 憍陳如品
,,,4,སུམ་ཅུ་རྩ་བཞི་པ། ཉེ་བ་འཁོར་གྱི་ལེའུ།,第三十四 鄔波離品
,,,4,སུམ་ཅུ་རྩ་ལྔ་པ། འོད་བྱེད་ཀྱི་ལེའུ།,第三十五 為光品
,,,4,སུམ་ཅུ་རྩ་དྲུག་པ། ནམ་གྲུའི་ལེའུ།,第三十六 奎宿品
,,,4,སུམ་ཅུ་རྩ་བདུན་པ། དེ་བཞིན་གཤེགས་པའི་ལེའུ། (སྟོད),第三十七 如來品 (上)
,第3函 ག,,1,འདུལ་བ་གཞི། ༼ག༽,根本毗奈耶（三）
,,,2,སྨན་གྱི་གཞི་འཆད་པ། (སྨད),說藥事(下)
,,,3,གཏམ་དུ་གྱུར་པའི་སྡེ་ཚན། (སྨད),廣說分(下)
,,,4,སུམ་བཅུ་སོ་བདུན་པ། དེ་བཞིན་གཤེགས་པའི་ལེའུ། (སྨད),第三十七 如來品 (下)
,,,4,ནོར་ཅན་སོགས་བསྟན་པ།,說商主等事
,,,3,སྡེའི་སྡེ་ཚན།,聚落分
,,,4,ནད་བུ་ཅན་སོགས་བསྟན་པ།,說摩納婆等事
,,,4,ཀེ་ནའི་བུ་ཡིས་བཏུང་བ་བླངས་པ་བསྟན་པ།,說長者男求藥事
,,,4,ཀ་ཤིའི་ཚོང་རྡལ་ནས་ནས་ཐུག་བླངས་པ་སོགས་བསྟན་པ།,說鹿子母供養等事
,,,2,གོས་ཀྱི་གཞི་འཆད་པ།,說衣事
,,,3,འཚོ་བྱེད་ཀྱི་སྡེ་ཚན།,正命分
,,,3,གསོ་རས་ཀྱི་སྡེ་ཚན།,麻布分
,,,3,ཁ་ཚར་རིང་པོའི་སྡེ་ཚན།,衣長分
,,,3,དབྱར་རལ་བར་ནི་རིག་བྱ་དང་ཞེས་པའི་སྡེ་ཚན།,稱毀夏分
,,,3,ཤི་བའི་དུས་ཀྱི་སྡེ་ཚན།,死時分
,,,3,ཉེ་དགའི་སྡེ་ཚན།,近喜分
,,,3,ནད་པའི་སྡེ་ཚན།,病人分
,,,2,སྲ་བརྐྱང་གི་གཞི་འཆད་པ།,說羯恥那衣事
,,,3,གནས་བཅས་ཀྱི་སྡེ་ཚན།,自來城分
,,,3,རྡོལ་པའི་སྡེ་ཚན།,失衣分
,,,3,བླིངས་པའི་སྡེ་ཚན།,造衣分
,,,3,དུས་ཀྱི་སྡེ་ཚན།,正時分
,,,3,གང་ཟག་མ་མོའི་གཞིའི་སྡེ་ཚན།,張衣人分
,,,3,ཉི་ཤུའི་སྡེ་ཚན།,二十分
,,,3,བཅུ་གཉིས་ཀྱི་སྡེ་ཚན།,十二分
,,,2,ཀཽ་ཤམྦཱིའི་གཞི་འཆད་པ།,說憍賞彌本事
,,,2,ལས་ཀྱི་གཞི་འཆད་པ།,說羯磨本事
,,,2,དམར་སེར་ཅན་གྱི་གཞི་འཆད་པ།,說苛責本事
,,,3,དམར་སེར་ཅན་གྱི་ལྡེ་ཚན།,苛責分
,,,3,ལེགས་ལྡན་གྱི་སྡེ་ཚན།,具善分
,,,3,འགྲོ་མགྱོགས་དང་ནབ་སོའི་སྡེ་ཚན།,阿說迦和滿宿分
,,,3,ཆུ་སྟོད་ཀྱི་སྡེ་ཚན།,箕宿分
,,,3,འདུན་པའི་སྡེ་ཚན།,欲分
,,,3,འཆི་ལྟས་ཀྱི་སྡེ་ཚན།,死相分
,,,3,འཆར་ཀའི་སྡེ་ཚན།,優陀夷分
,,,2,གང་ཟག་གི་གཞི་འཆད་པ།,說補特伽羅本事
,,,3,འཆར་ཀའི་སྡེ་ཚན།,優陀夷分
,,,3,བཏུས་པའི་སྡེ་ཚན།,聚集分
,,,3,མཐའི་སྡེ་ཚན།,有盡分
,,,3,གཞན་གྱིས་དང་ཞེས་པའི་སྡེ་ཚན།,稱他所作分
,,,2,སྤོ་བའི་གཞི་འཆད་པ།,說覆藏本事
,,,2,གསོ་སྦྱོང་བཞག་པའི་གཞི་འཆད་པ།,說開布薩事
,,,2,གནས་མལ་གྱི་གཞི་འཆད་པ།,說尼師壇事
,,,2,རྩོད་པའི་གཞི་འཆད་པ།,說有諍事
,,,2,དགེ་འདུན་དབྱེན་གྱི་གཞི་འཆད་པ།,說破僧事(上)
,,,3,མང་པོས་བཀུར་བ་ལ་སོགས་པའི་སྡེ་ཚན། (སྟོད),種族尊貴等分(上)
,第4函 ང,,1,འདུལ་བ་གཞི། ༼ང༽,根本毗奈耶（四）
,,,2,དགེ་འདུན་དབྱེན་གྱི་གཞི་འཆད་པ། (སྨད),說破僧事(下)
,,,3,མང་པོས་བཀུར་བ་ལ་སོགས་པའི་སྡེ་ཚན། (སྨད),種族尊貴等分(下)
,,,3,འཁོར་གྱི་སྡེ་ཚན།,眷屬分
,,,3,ཀཽཎྜི་ནྱའི་སྡེ་ཚན།,憍陳如分
,,,3,རྫུ་འཕྲུལ་གྱི་སྡེ་ཚན།,神變分
,,,3,ཀཽ་ཤི་ཀའི་སྡེ་ཚན།,帝釋天分
,,,3,ངང་པའི་སྡེ་ཚན།,鵝王分
,,,3,མནར་མེད་ཀྱི་སྡེ་ཚན།,阿吒王分
,第5函 ཅ,J2,1,སོ་སོར་ཐར་པའི་མདོ།,別解脫經
,,,2,སོ་སོར་ཐར་པའི་མདོ་གདོན་པའི་གླེང་གཞི་བཤད་པ།,別解脫因緣分
,,,2,ཕམ་པར་འགྱུར་བའི་ཆོས་བཞི་བཤད་པ།,說四波羅夷法
,,,2,དགེ་འདུན་ལྷག་མའི་ཆོས་བཅུ་གསུམ་བཤད་པ།,說十三僧伽尸沙法(僧殘說)
,,,2,མ་ངེས་པའི་ཆོས་གཉིས་བཤད་པ།,說二不定法
,,,2,སྤང་བའི་ལྟུང་བྱེད་ཀྱི་ཆོས་སུམ་ཅུ་བཤད་པ།,說三十捨墮法
,,,3,བཅུ་ཚན་དང་པོ། འཆང་བ་འབྲལ་འཇོག་སོགས་བཤད་པ།,說持捨畜衣等學處第一
,,,3,བཅུ་ཚན་གཉིས་པ། སྲིན་བལ་ལ་སོགས་པ་བཤད་པ།,說綿等學處第二
,,,3,བཅུ་ཚན་གསུམ་པ། ལྷུང་བཟེད་གཉིས་སོགས་བཤད་པ།,說二鉢等學處第三
,,,2,ལྟུང་བྱེད་ཀྱི་ཆོས་དགུ་བཅུ་བཤད་པ།,說九十波逸底迦法(說九十單墮法)
,,,3,བཅུ་ཚན་དང་པོ། ཤེས་བཞིན་ལ་སོགས་པ་བཤད་པ།,十類第一 說故知等事
,,,3,བཅུ་ཚན་གཉིས་པ། ས་བོན་ལ་སོགས་པ་བཤད་པ།,十類第二 說種子等事
,,,3,བཅུ་ཚན་གསུམ་པ། མ་བསྐོས་པ་ལ་སོགས་པ་བཤད་པ།,十類第三 說不差等事
,,,3,བཅུ་ཚན་བཞི་པ། ཡང་ཡང་ལ་སོགས་པ་བཤད་པ།,十類第四 說數食等事
,,,3,བཅུ་ཚན་ལྔ་པ། སྲོག་ཆགས་དང་བཅས་པའི་ཆུ་སོགས་བཤད་པ།,十類第五 說蟲水等事
,,,3,བཅུ་ཚན་དྲུག་པ། བདེ་དང་མེ་ལ་སོགས་པ་བཤད་པ།,十類第六 說伴惱觸火等事
,,,3,བཅུ་ཚན་བདུན་པ། བསམས་བཞིན་དུ་དུད་འགྲོ་གསོད་པ་སོགས་བཤད་པ།,十類第七 說殺傍生等事
,,,3,བཅུ་ཚན་བརྒྱད་པ། མགྲོན་མང་རྐུན་མ་སོགས་བཤད་པ།,十類第八 賊徒等事
,,,3,བཅུ་ཚན་དགུ་པ། ཟས་བཅས་སྐྱ་རེངས་སོགས་བཤད་པ།,十類第九 食明等事
,,,2,སོ་སོར་བཤགས་པར་བྱ་བའི་ཆོས་བཞི་བཤད་པ།,說四波羅底提舍尼法
,,,2,བསླབ་པའི་ཆོས་མང་པོ་བཤད་པ།,說眾學法
,,,2,རྩོད་པ་ཞི་བར་བྱ་བའི་ཆོས་བདུན་བཤད་པ།,說七滅諍法
,,J3,1,འདུལ་བ་རྣམ་པར་འབྱེད་པ། ༼ཅ༽,分別毘奈耶（一）
,,,2,འདུལ་བ་ལ་བསྟོད་པ།,毗奈耶讚
,,,2,ཕམ་པར་འགྱུར་བའི་ཆོས་རྣམས་བཤད་པ། (སྟོད),說諸波羅夷法(上)
,,,3,ཕམ་པར་འགྱུར་བ་དང་པོ་བཤད་པ།,說第一波羅夷
,,,3,ཕམ་པར་འགྱུར་བ་གཉིས་པ་བཤད་པ།,說第二波羅夷
,,,3,ཕམ་པར་འགྱུར་བ་གསུམ་པ་བཤད་པ།,說第三波羅夷
,,,3,ཕམ་པར་འགྱུར་བ་བཞི་པ་བཤད་པ།,說第四波羅夷
,,,3,དགེ་འདུན་ལྷག་མའི་སྡེ་བཤད་པ། (སྟོད),說十三僧伽尸沙(說僧殘)(上)
,,,4,དང་པོ། ཁུ་བ་འབྱིན་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第一 說出精僧殘
,,,4,གཉིས་པ། ལུས་ཀྱིས་རེག་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第二 說觸體僧殘
,,,4,གསུམ་པ། འཁྲིག་པ་དང་ལྡན་པ་སྨྲ་བའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第三 說染心言語僧殘
,,,4,བཞི་པ། བསྙེན་བཀུར་བསྔགས་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第四 說索供養僧殘
,,,4,ལྔ་པ། སྨྱན་བྱེད་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第五 說作媒僧殘
,,,4,དྲུག་པ། ཁང་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第六 說造小房僧殘
,,,4,བདུན་པ། གཙུག་ལག་ཁང་གི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第七 說造大寺僧殘
,,,4,བརྒྱད་པ། གཞི་མེད་པར་སྐུར་པ་འདེབས་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第八 說無根謗僧殘
,,,4,དགུ་པ། གཞན་གྱི་ཆ་མ་ཡིན་པ་དང་མཐུན་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ།,第九 說假根謗僧殘
,,,4,བཅུ་པ། དགེ་འདུན་གྱི་དབྱེན་བྱེད་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ། (སྟོད),第十 說破僧伽僧殘(上)
,第6函 ཆ,,1,འདུལ་བ་རྣམ་པར་འབྱེད་པ། ༼ཆ༽,分別毘奈耶（二）
,,,2,ཕམ་པར་འགྱུར་བའི་ཆོས་རྣམས་བཤད་པ། (སྨད),說諸波羅夷法(下)
,,,3,དགེ་འདུན་ལྷག་མའི་སྡེ་བཤད་པ། (སྨད),說十三僧伽尸沙(說僧殘)(下)
,,,4,བཅུ་པ། དགེ་འདུན་གྱི་དབྱེན་བྱེད་པའི་དགེ་འདུན་ལྷག་མ་བཤད་པ། (སྨད),第十 破僧伽僧殘說(下)
,,,4,བཅུ་གཅིག་པ། རྗེས་སུ་ཕྱོགས་པའི་ལྷག་མ་བཤད་པ།,第十一 說破僧違諫僧殘
,,,4,བཅུ་གཉིས་པ། ཁྱིམ་སུན་འབྱིན་པའི་ལྷག་མ་བཤད་པ།,第十二 說污家僧殘
,,,4,བཅུ་གསུམ་པ། བཀའ་བློ་མི་བདེ་བའི་ལྷག་མ་བཤད་པ།,第十三 說惡性違諫僧殘
,,,2,མ་ངེས་པའི་ཆོས་བཤད་པ།,說不定法
,,,3,མ་ངེས་པའི་ཆོས་དང་པོ་བཤད་པ།,說不定法第一
,,,3,མ་ངེས་པའི་ཆོས་གཉིས་པ་བཤད་པ།,說不定法第二
,,,2,སྤང་བའི་ལྟུང་བྱེད་སུམ་ཅུ་བཤད་པ།,說三十捨墮
,,,3,དང་པོ། འཆང་བའི་སྤང་བ་བསྟན་པ།,第一 說捨持
,,,3,གཉིས་པ། འབྲལ་བའི་སྤང་བ་བསྟན་པ།,第二 說捨離
,,,3,གསུམ་པ། འཇོག་པའི་སྤང་བ་བསྟན་པ།,第三 說捨畜
,,,3,བཞི་པ། འཁྲུར་འཇུག་པའི་སྤང་བ་བསྟན་པ།,第四 說捨浣
,,,3,ལྔ་པ། ལེན་པའི་སྤང་བ་བསྟན་པ།,第五 說捨取
,,,3,དྲུག་པ། སློང་བའི་སྤང་བ་བསྟན་པ།,第六 說捨乞衣
,,,3,བདུན་པ། སློང་བར་རིགས་པའི་སྤང་བ་བསྟན་པ།,第七 說捨過量乞衣
,,,3,བརྒྱད་པ། སྤགས་པ་ལས་ལྷག་པ་སློང་བའི་སྤང་བ་བསྟན་པ།,第八 說捨共許與衣就乞
,,,3,དགུ་པ། སོ་སོ་ནས་སྤགས་པ་ལས་ལྷག་པ་སློང་བའི་སྤང་བ་བསྟན་པ།,第九 說捨別許與衣就乞
,,,3,བཅུ་པ། བསྐུར་བའི་སྤང་བ་བསྟན་པ།,第十 說捨遣使
,,,3,བཅུ་གཅིག་པ། སྲིན་བལ་གྱི་སྤང་བ་བསྟན་པ།,第十一 說捨絲綿
,,,3,བཅུ་གཉིས་པ། བལ་ནག་པོ་འབའ་ཞིག་གི་སྤང་བ་བསྟན་པ།,第十二 說捨純黑羊毛
,,,3,བཅུ་གསུམ་པ། ཆ་གཉིས་བསྲེས་པའི་སྤང་བ་བསྟན་པ།,第十三 說捨二分
,,,3,བཅུ་བཞི་པ། ལོ་དྲུག་ཏུ་བཅང་བའི་སྤང་བ་བསྟན་པ།,第十四 說捨作減六年敷具
,,,3,བཅོ་ལྔ་པ། མཐོ་གང་གི་སྤང་བ་བསྟན་པ།,第十五 說捨佛一張手
,,,3,བཅུ་དྲུག་པ། བལ་ཐོགས་པའི་སྤང་བ་བསྟན་པ།,第十六 說捨自擔負羊毛
,,,3,བཅུ་བདུན་པ། བལ་རྨེལ་དུ་འཇུག་པའི་སྤང་བ་བསྟན་པ།,第十七 說捨使非親尼治羊毛
,,,3,བཅོ་བརྒྱད་པ། གསེར་དངུལ་ལ་རེག་པའི་སྤང་བ་བསྟན་པ།,第十八 說捨捉金銀等
,,,3,བཅུ་དགུ་པ། མངོན་མཚན་ཅན་གྱིས་སྦྱོད་པའི་སྤང་བ་བསྟན་པ།,第十九 說捨出納求利
,,,3,ཉི་ཤུ་པ། ཉོ་འཚོང་བྱེད་པའི་སྤང་བ་བསྟན་པ།,第二十 說捨販賣
,,,3,ཉི་ཤུ་གཅིག་པ། ལྷུང་བཟེད་འཆང་བའི་སྤང་བ་བསྟན་པ།,第二十一 說捨得長鉢
,,,3,ཉི་ཤུ་གཉིས་པ། ལྷུང་བཟེད་ཚོལ་བའི་སྤང་བ་བསྟན་པ།,第二十二 說捨乞鉢
,,,3,ཉི་ཤུ་གསུམ་པ། འཐག་ཏུ་འཇུད་པའི་སྤང་བ་བསྟན་པ།,第二十三 說捨自乞縷
,,,3,ཉི་ཤུ་བཞི་པ། འཐག་པ་སྐྱེད་པའི་སྤང་བ་བསྟན་པ།,第二十四 說捨勸織師
,,,3,ཉི་ཤུ་ལྔ་པ། འཕྲོག་པའི་སྤང་བ་བསྟན་པ།,第二十五 說捨奪衣
,,,3,ཉི་ཤུ་དྲུག་པ། བརྟད་པ་ལས་བྱུང་བ་སྤང་བ་བསྟན་པ།,第二十六 說捨急施衣
,,,3,ཉི་ཤུ་བདུན་པ། ཞག་བདུན་གྱིས་འབྲལ་བ་སྤང་བ་བསྟན་པ།,第二十七 說捨經七日
,,,3,ཉི་ཤུ་བརྒྱད་པ། དབྱར་གྱི་རས་ཆེན་གྱི་སྤང་བ་བསྟན་པ།,第二十八 說捨求雨浴衣
,,,3,ཉི་ཤུ་དགུ་པ། བསྔོས་པ་ལས་བསྒྱུར་པའི་སྤང་བ་བསྟན་པ།,第二十九 說捨自迴入己
,,,3,སུམ་ཅུ་པ། གསོག་འཇོག་གི་སྤང་བ་བསྟན་པ།,第三十 說捨過限服
,,,2,ལྟུང་བྱེད་ཀྱི་སྡེ་རྣམས་བཤད་པ། (སྟོད),說波逸底迦等(上)
,,,3,བཅུ་ཚན་དང་པོ། ཤེས་བཞིན་ལ་སོགས་པའི་སྡེ་ཚན།,十類第一 說故知等事
,,,4,དང་པོ། བརྫུན་དུ་སྨྲ་བའི་ལྟུང་བྱེད།,第一 故妄語單墮
,,,4,གཉིས་པ། མིའི་སྐྱོན་ནས་སྨྲ་བའི་ལྟུང་བྱེད།,第二 毀訾語單墮
,,,4,གསུམ་པ། དགེ་སློང་ལ་ཕྲ་མ་བྱེད་པའི་ལྟུང་བྱེད།,第三 離間語單墮
,,,4,བཞི་པ། སྐྱོ་སྔོགས་བྱེད་པའི་ལྟུང་བྱེད།,第四 發舉單墮
,,,4,ལྔ་པ། སྟོན་པའི་ལྟུང་བྱེད།,第五 獨與女人說法過五六語單墮
,,,4,དྲུག་པ། འདོན་པའི་ལྟུང་བྱེད།,第六 與未圓具人同句讀誦單墮
,,,4,བདུན་པ། གནས་ངན་ལེན་བརྗོད་པའི་ལྟུང་བྱེད།,第七 向未圓具人說麁罪單墮
,,,4,བརྒྱད་པ། མིའི་ཆོས་བླ་མ་བརྗོད་པའི་ལྟུང་བྱེད།,第八 實得上人法向未圓具人說單墮
,,,4,དགུ་པ། སྐུར་བ་འདེབས་བའི་ལྟུང་བྱེད།,第九 謗迴眾利物單墮
,,,4,བཅུ་པ། བསླབ་པ་ཁྱད་དུ་གསོད་པའི་ལྟུང་བྱེད།,第十 輕呵戒單墮
,,,3,བཅུ་ཚན་གཉིས་པ། ས་བོན་ལ་སོགས་པའི་སྡེ་ཚན། (སྟོད),十類第二 說種子等事(上)
,,,4,བཅུ་གཅིག་པ། ས་བོན་དང་སྐྱེ་བ་འཇིག་པའི་ལྟུང་བྱེད།,第十一 壞生種單墮
,第7函 ཇ,,1,འདུལ་བ་རྣམ་པར་འབྱེད་པ། ༼ཇ༽,分別毘奈耶（三）
,,,2,ལྟུང་བྱེད་ཀྱི་སྡེ་རྣམས་བཤད་པ། (བར),說波逸底迦等(中)
